2026-07-18 14:07:01 - INFO - === Starting Live Paper-Trading Engine | Asset: BTC-USD | Initial Balance: $10,000.00 ===
2026-07-18 14:07:02 - INFO - Agent checkpoint loaded successfully (195 state keys). Epsilon strictly locked to 0.0 for deterministic execution.
2026-07-18 14:07:02 - INFO - Step:    1 | Time: 2026-07-18T14:07:02.656384 | Price: $62700.2383 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $  10000.0000 | State 7D: (0, 0, 0, 0, 1, 0, 0)
2026-07-18 14:07:03 - INFO - Step:    2 | Time: 2026-07-18T14:07:03.657225 | Price: $62884.5391 | Action: Long (2)  | PnL: $+184.30 | TxCost: $31.44 | Balance: $  10152.8585 | State 7D: (0, 0, 1, 0, 1, 0, 0)
2026-07-18 14:07:04 - INFO - Step:    3 | Time: 2026-07-18T14:07:04.657805 | Price: $62858.0508 | Action: Long (2)  | PnL: $ -26.49 | TxCost: $ 0.00 | Balance: $  10126.3702 | State 7D: (0, 1, 1, 0, 1, 1, 0)
2026-07-18 14:07:05 - INFO - Step:    4 | Time: 2026-07-18T14:07:05.664830 | Price: $63102.8008 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $31.55 | Balance: $  10094.8188 | State 7D: (1, 1, 0, -1, 1, 1, 0)
2026-07-18 14:07:06 - INFO - Step:    5 | Time: 2026-07-18T14:07:06.665467 | Price: $63037.6211 | Action: Flat (1)  | PnL: $  -0.00 | TxCost: $ 0.00 | Balance: $  10094.8188 | State 7D: (1, 0, 1, 0, 1, 1, 0)
2026-07-18 14:07:06 - INFO - Reached maximum requested steps (5). Exiting live loop.
2026-07-18 14:07:06 - INFO - === Live Paper-Trading Ended | Final Balance: $10,094.82 ===
2026-07-18 14:36:01 - INFO - === Starting Live Paper-Trading Engine | Asset: BTCUSDT | Initial Balance: $10,000.00 ===
2026-07-18 14:36:01 - INFO - Connected to Binance Testnet for BTCUSDT. Agent checkpoint loaded (195 keys). Epsilon strictly locked to 0.0.
2026-07-18 14:36:02 - INFO - Step:    1 | Time: 2026-07-18T14:36:02.078441 | Price: $64025.3200 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $  10000.0000 | State 7D: (1, 0, 0, 0, 1, 1, 0)
2026-07-18 14:36:17 - INFO - Step:    2 | Time: 2026-07-18T14:36:17.315199 | Price: $64025.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $  10000.0000 | State 7D: (1, 0, 0, 0, 1, 1, 0)
2026-07-18 14:36:32 - INFO - Step:    3 | Time: 2026-07-18T14:36:32.552048 | Price: $64025.3100 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $  10000.0000 | State 7D: (1, 0, 0, 0, 1, 1, 0)
2026-07-18 14:36:32 - INFO - Reached maximum requested verification steps (3). Exiting live loop.
2026-07-18 14:36:32 - INFO - === Live Paper-Trading Ended | Final Balance: $10,000.00 ===
2026-07-18 14:38:44 - INFO - === Starting Live Paper-Trading Engine | Asset: BTCUSDT | Initial Balance: $10,000.00 ===
2026-07-18 14:38:45 - INFO - Connected to Binance Testnet for BTCUSDT. Agent checkpoint loaded (195 keys). Epsilon strictly locked to 0.0.
2026-07-18 14:38:45 - INFO - Step:    1 | Time: 2026-07-18T14:38:45.660251 | Price: $64028.8000 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $  10000.0000 | State 7D: (1, 0, 0, 0, 1, 1, 0)
2026-07-18 14:39:00 - INFO - Step:    2 | Time: 2026-07-18T14:39:00.923936 | Price: $64028.8000 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $  10000.0000 | State 7D: (1, 0, 0, 0, 1, 1, 0)
2026-07-18 14:39:16 - INFO - Step:    3 | Time: 2026-07-18T14:39:16.159979 | Price: $64028.7900 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $  10000.0000 | State 7D: (1, 0, 0, 0, 1, 1, 0)
2026-07-18 14:39:31 - INFO - Step:    4 | Time: 2026-07-18T14:39:31.811708 | Price: $64028.7900 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $  10000.0000 | State 7D: (1, 0, 0, 0, 1, 1, 0)
2026-07-18 14:39:47 - INFO - Step:    5 | Time: 2026-07-18T14:39:47.467693 | Price: $64028.7900 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $  10000.0000 | State 7D: (1, 0, 0, 0, 1, 1, 0)
2026-07-18 14:40:02 - INFO - Step:    6 | Time: 2026-07-18T14:40:02.704108 | Price: $64028.8000 | Action: Flat (1)  | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $  10000.0000 | State 7D: (1, 0, 0, 0, 1, 1, 0)
2026-07-18 14:40:17 - INFO - Step:    7 | Time: 2026-07-18T14:40:17.938784 | Price: $64031.0100 | Action: Short (0) | PnL: $  +0.00 | TxCost: $32.02 | Balance: $   9967.9845 | State 7D: (1, 1, 0, 0, 1, 1, 0)
2026-07-18 14:40:33 - INFO - Step:    8 | Time: 2026-07-18T14:40:33.594374 | Price: $64031.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 1, 0, 1, 1, 1, 0)
2026-07-18 14:40:49 - INFO - Step:    9 | Time: 2026-07-18T14:40:49.246681 | Price: $64031.0100 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 1, 0, 0, 1, 1, 0)
2026-07-18 14:41:04 - INFO - Step:   10 | Time: 2026-07-18T14:41:04.485145 | Price: $64031.0100 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 1, 0, 0, 1, 1, 0)
2026-07-18 14:41:19 - INFO - Step:   11 | Time: 2026-07-18T14:41:19.720852 | Price: $64031.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 1, 0, 1, 1, 1, 0)
2026-07-18 14:41:34 - INFO - Step:   12 | Time: 2026-07-18T14:41:34.956928 | Price: $64031.0100 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 1, 0, 0, 1, 1, 0)
2026-07-18 14:41:50 - INFO - Step:   13 | Time: 2026-07-18T14:41:50.611856 | Price: $64031.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 1, 0, 1, 1, 1, 0)
2026-07-18 14:42:05 - INFO - Step:   14 | Time: 2026-07-18T14:42:05.850080 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:42:21 - INFO - Step:   15 | Time: 2026-07-18T14:42:21.088947 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:42:36 - INFO - Step:   16 | Time: 2026-07-18T14:42:36.324764 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:42:51 - INFO - Step:   17 | Time: 2026-07-18T14:42:51.978627 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:43:07 - INFO - Step:   18 | Time: 2026-07-18T14:43:07.219023 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:43:22 - INFO - Step:   19 | Time: 2026-07-18T14:43:22.456799 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:43:37 - INFO - Step:   20 | Time: 2026-07-18T14:43:37.694914 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:43:53 - INFO - Step:   21 | Time: 2026-07-18T14:43:53.354611 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:44:09 - INFO - Step:   22 | Time: 2026-07-18T14:44:09.006007 | Price: $64025.0100 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:44:24 - INFO - Step:   23 | Time: 2026-07-18T14:44:24.340547 | Price: $64025.0100 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:44:39 - INFO - Step:   24 | Time: 2026-07-18T14:44:39.573983 | Price: $64025.0100 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:44:54 - INFO - Step:   25 | Time: 2026-07-18T14:44:54.808593 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (1, 0, 0, 1, 1, 1, 0)
2026-07-18 14:45:10 - INFO - Step:   26 | Time: 2026-07-18T14:45:10.046763 | Price: $64025.0000 | Action: Short (0) | PnL: $  +0.00 | TxCost: $ 0.00 | Balance: $   9967.9845 | State 7D: (0, 0, 0, 1, 1, 1, 0)
2026-07-18 14:45:25 - INFO - Step:   27 | Time: 2026-07-18T14:45:25.704822 | Price: $64025.0100 | Action: Flat (1)  | PnL: $  +6.00 | TxCost: $32.01 | Balance: $   9941.9720 | State 7D: (0, 1, 0, 1, 1, 1, 0)
